,tau,fees_R_X,fees_R_Y
0,196880,0.000001362045002831864940993316011524164082509327754497,620.9286244152849889113406960284536613735513244664
1,196890,-0.000002074414105171054345461311451062849854468500714503,-909.4888601041060568942859267064305872685148626377
2,196900,-0.0000040053078437660764622816750411872827692406308896749,-2470.3674945776526116095994062510928490939531993396
3,196910,0.0000041222417756712920344542924585578489634251450341359,2516.9981969473925187142213364106602725140644755521
4,196920,-1.13841823038806925205593669220245818519434902947E-7,-46.4380954042790896403360255710069077863854044110
5,196930,-0.0000031014765609210156865801644749448210101067149465270,-2084.0690505861923105210541720323014133937051134832
6,196940,-0.0000016849833442096976539574993791325467438540999478983,-742.5836956200235557427886572558492877321765195810
7,196950,0.0000049228264398089636113258803068412594803563441670843,2881.1415615427179723000513622036478673074988640659
8,196960,-0.0000037986050319422466032120157506067343036357179057873,-2390.1746803764743817435617182458909569227822859004
9,196970,-0.0000010364266224127637038428394875977921424802823223195,-458.2225634332183534274750842822110314566125619035
10,196980,7.121229730179290847290407472913888424598158606669E-7,330.0258615312363893113935297369866165252839589463
11,196990,-6.558322634367339071990843381547548884775850476773E-7,-309.0925897219484498027471224538920510949362571156
12,197000,0.0000048053126487494833997844546588905480793634349003022,2837.0063527026559147416803154093721731225569776604
13,197010,0.000001678842671442272677603397230534651649262971876606,755.0867608436706361242540980619715221032856508630
14,197020,-0.000001056672463919968448454433334603200684804399693498,-503.6075501394992335362011327575007905285824382726
15,197030,0.000001123491936741724861348087937769379046695345471748,529.3192823159559382334303241027137938864455553197
16,197040,-0.000001115670717967317171593848620975887440025515614047,-526.4925690554827667024329646538925354724962593704
17,197050,-6.10628365063605739116550951434074113941083064252E-7,-247.3124116535323197756453715123612354360742715847
18,197060,-0.0000040474186411247381981877617239730019517344868466976,-2490.1465755361180066913639238218860481900439485169
19,197070,8.6371967740236016457216972076498034676620592028E-9,3.1282265721866325275070202337409934279419303803
20,197080,0.0000040553990313408675471775114799643835210134595508968,2493.0404628352419957496789888246329925330020427359
21,197090,4.760486248273282668431545587487628929271325842E-9,1.7292072482690836572500836248266981607602850381
22,197100,-0.0000047239056737514160661979543360331188622892417597513,-2807.4983744740157922814076135179343423116098650752
23,197110,0.0000065924902496646430795702597015762660383922280972723,3638.4038267822455076547158009610510511505145750231
24,197120,-0.0000065761783675696037262105869046025348195318534278094,-3632.4532466308071558961676698312259832623938646988
25,197130,0.0000051374561870944189503287684345041039561468494130504,2976.8400600363299988650337657800617437473195669976
26,197140,-0.0000044228671834168453383092798049498567277575793168590,-2645.6409595902105644903987506338542940702266311041
27,197150,1.47427028737409752316982365684704086758794635774E-8,5.3914520066949271768972686230816311994320448185
28,197160,-0.0000075751100627160292953761156848796298293932718328264,-2370.5530383844496304216193607932151311675008983952
29,197170,0.000012688895988942763152196662843789243252385538522687,5308.9149637279719772601141592141499483111227359638
30,197180,-0.000001076533104448559217948167863725234652626694337086,-451.8771729850599991401907620558733106730402962926
31,197190,-0.0000037052364058235854369600466704146947120781195927796,-2355.5935915479550238387591133204943584037396888552
32,197200,-0.0000079071264786706184972884483096493138876807245928214,-2501.4441991949569542811642838377822792343427508160
33,197210,0.0000069415390810643489649843689591201757267062938457573,2068.9723918918327761633103488150366578992354082390
34,197220,7.2641387872449523567176764937848253409578289981E-9,2.7359695077995894910913063830980035814288710756
35,197230,7.011874411264018357037277165715103145729404137994E-7,326.2995425635683442916866095289193827937354952486
36,197240,0.0000042271023669399587232193846060799428392589190713392,2567.8639234767352910409046877012088471040254982808
37,197250,8.3937187539915243879143895549427709081798242559E-8,31.7724634321580661434876852262239047020523148288
38,197260,-2.95236283070640104295326808176624050305652139996E-7,-120.9457261111367682937248034976660406448386465174
39,197270,0.000002026822271451172171568940511612241390503422210004,918.4894465779284262053255141815539880292660818151
40,197280,-0.000001753559631836214664854378684507925429363596718458,-806.1523347449504449305034636818492154217019233405
41,197290,0.000001476831765990932779437662191501986102289808002666,675.0734469492729864404023277967657462740021114576
42,197300,-0.0000064179957950014127283362625561049762462234957090324,-3574.6775577693363290357554305078388889440283802913
43,197310,-0.0000069978925429917071736639775081395431818613950476366,-2089.4315657738719375162247819454523853731768307963
44,197320,0.0000081281837808878757152607590987360302335306761998325,2585.3959820389881778010697786463180570721174821676
45,197330,-3.847985648295695364761352335876904880475237827886E-7,-152.8311827926950850717882381326370356350962263205
46,197340,4.071681391896970871022442790651972379382826874752E-7,161.1104192360408128918478138046627738116952229904
47,197350,0.0000035768812224182862315088976373762696209692102163809,2305.8466056149282706529984010025126053886096117762
48,197360,0.000001662125080333071524068086098132516986538942739152,754.5423569894283029481449233552617418992282842831
49,197370,-0.0000064111728030983473356288645393475977511346403891451,-3576.2139645803967948854655162635854923873046730684
50,197380,0.0000046470239688006843003446584240793903615411378177311,2778.5859299249735700034481331197419698798799388404
51,197390,-0.0000035089100028283109452490421678474302277261656210944,-2276.4393471379799931971004713025355507972995089177
52,197400,-5.828904471050309895129861643546283998426608033136E-7,-253.0011854084163471786842786789408467123606065444
53,197410,0.0000041476712205704154254209974883534555444889053847260,2551.1734649088152264433122560572749760181148815078
54,197420,-0.0000034628405424099411805481169661705769044975458601338,-2259.1284823008977819110187351828061491765755462233
55,197430,-1.94651326283123728070384202630720315891985161290E-8,-7.6579053945219863664269840358390239400780425451
56,197440,4.31819968132737459245441636450012106263029424556E-8,16.5695187768831828342245818076571572699157547219
57,197450,-7.658652415418720241499297355622551977368129075706E-7,-336.4781735286262037920624188937998036421801390132
58,197460,0.0000043448075787713270869006528709983028686202066612398,2643.1513949653764487610968930733615478366138075105
59,197470,-0.0000036808449652565416306259607119111471515631791532038,-2346.8080415566143808633063768896854102658612971215
60,197480,0.0000039416670389145119232895314970791573798201010622408,2454.7742625391443600224014528289740377592446911656
61,197490,-0.0000041557506405179266899742375370660453068623483542836,-2541.5869885955444488711348568852374600409309548148
62,197500,0.0000041555198809129108740625810122844209111541462500316,2541.4074198622336782310610859892694169023284551302
63,197510,7.021378226507566534173495905976847360049861332E-9,2.6550935170997398700301193064235967868303052189
64,197520,-0.0000048197222234770026844946963526014870625779196400446,-2854.0972500569140723281786693631073920889351647095
65,197530,1.43408139706760865374892602053454633171704712988E-8,5.4346070196059090446716985448573365849107445661
66,197540,0.0000048417632847178968583676954998913395974489417306598,2862.5437628423134312132352993158333341594349808410
67,197550,-0.0000038411161132604850904685322271822083757062293928663,-2415.7955136987027189063086551853831637716201431468
68,197560,1.156464438088776589275682561171046264638803647567E-7,46.8071495988989289202905657597932368084539406731
69,197570,-0.0000010455755403851711188060414213530513699497425818470,-466.6319651300587259982194128780673558357961611666
70,197580,0.0000047597343975314662259566608183392204958753351453946,2831.3240652614678765987386717044204794824877247701
71,197590,-1.83899913052940224696531288423474610638057011347E-7,-78.7661965808608795506525364956237659239558791806
72,197600,-0.0000035875029470992089044083753608727359785593658323711,-2310.4747309626841461419426235926564075914598572677
73,197610,-9.366774182580484844194169859976884576848806440247E-7,-422.4313316951159075998200565383438699605993798363
74,197620,4.707051958338750418050221265716183240667640514376E-7,218.4594519281614045252727191098429476884940301862
75,197630,0.0000042563078866484727011296893600952201219441913238112,2599.6576289564299305012474403839933301604961221486
76,197640,-0.0000037029684505590384250312203318420731655145448004466,-2361.9326983818454462526625659609078698214615546876
77,197650,0.0000037745271648607425247495128133391831109067940465186,2389.9890900848225339939926640565355964032517125550
78,197660,-0.0000040915955890084441084750664126013213574590028678031,-2517.3446752675616686269793889572208524244210513815
79,197670,3.011475800402382204807641226435770879974160412380E-7,120.9432986430711670714566116237159867055814669890
80,197680,-8.990022277833780936146000685893526707980036381309E-7,-407.9539089063948107795803032764468955291286205037
81,197690,9.176009498439302183490746999717903428719725889349E-7,415.1149542188958136815297541709618459419978241725
82,197700,0.0000038036084111881072835901227454280496582037227654291,2401.4768809838004870872834133468754460356502884403
83,197710,-2.10543722252086221174900023210482274561261443610E-7,-88.8383958472789021550587274283145988215312646819
84,197720,-0.0000038216110248529231161378965172402305635104174845305,-2405.8302833299639798952735807723104498655580794975
85,197730,1.25744989605711661295482288982596108641502318653E-8,4.8594010523050930184651742545450270686557228919
86,197740,1.30665501421222557391282927594721312195218797638E-8,5.0584254029125462991953863719653915696734433001
87,197750,0.0000040347384377628602552406028589175213945156717897714,2495.6798567744278683483876797723732127238928903505
88,197760,0.000001175095061045520037626873785921357848893681685902,560.7751816705808459531081584981592556186459200737
89,197770,-0.000001441413662834186969205009408316723680633530130580,-673.9887663214345515299437055020219610277560308237
90,197780,2.85326319288174335012553139290817936188272656975E-7,120.5948544337688795409327063287613464230675385457
91,197790,-0.0000037308183961599104747489265078526951919368845902249,-2373.1746028908525831164011879077266710363219675495
92,197800,0.0000037440330634961495487927485797836871004524817445409,2378.3188011480188895512177078928276300710898619204
93,197810,1.0052374144014680331573832676325063103988785580E-8,4.2233530549006873450407211352389621294380972216
94,197820,-0.0000037234271039305071041705882469863343555037982386932,-2370.5577345717744170460324569958702427786988306352
95,197830,0.0000039751581251498066838393385392051294969749264310992,2473.9835228483185786389852179243199207224560328208
96,197840,-0.0000041898562426569588826543476579150534454588574314566,-2562.5957108644520154605503125687263464783150036974
97,197850,0.0000039506296395287164401762030996222446889669007337486,2463.7545234543110297617047944235455716642167440499
98,197860,-0.0000039545004162313468436337268887230961814515388154079,-2465.3039568779063479860842452700108259110400323813
99,197870,-5.118971645180201310854899226873176941680900988312E-7,-251.3420068210322692156164433496526457784797404110
100,197880,0.0000045026520671596485465842968883344632155983493024181,2731.0063101947365890615012482162266150073253389485
101,197890,-0.0000045010653524418705375302430868775049248696692088439,-2731.1117807767691511085493008646271659506836193937
102,197900,0.0000043065856937186771061722371482170190751469835844279,2648.4304610836750168045522290521429533841373465144
103,197910,-0.0000035052018891377448027810102510045715284948562128374,-2278.3793861998967659131359888621613820691756852677
104,197920,1.58465192594398328490979077111153478666060408084E-8,6.2540792791132180451529633403731293038752934866
105,197930,0.0000037074811572666113998004359716830381672620630257000,2364.0159131421095128254143372604862338323757850268
106,197940,-0.0000036891433452134326610567234953922402018673829055530,-2356.7525012464671390356507677351221669676883570480
107,197950,0.0000037032498607314078650742721948465820972226671204420,2362.3530304328406119874002200903559125343001473320
108,197960,-0.0000039447366709177360809637824209010921115893785028712,-2462.7169630596086140844978222401064704146381014304
109,197970,0.0000034498491866838874367203902241288779533187420724522,2246.7822470804399297316395250654537182161821801063
110,197980,5.28707946191909802921871629298833536416638103440E-7,229.4210507657713580654868041620539826873029784402
111,197990,-4.62926179636450713007826315707928177531031001605E-7,-199.2202197315863031466220938287145411382105842467
112,198000,-0.0000039007922131293132975698602289640992417671468762772,-2476.4122092786711796052949561237787075018762824802
113,198010,0.0000040417375549250855254665604558143904549456117184962,2537.6291116051109038287894784320178570812680800573
114,198020,-0.000001038497994682408529478476772120738827755542039410,-593.6696013822385671236951524914190084590395273516
115,198030,-0.0000030480700217871849793140317484128013502699861701691,-1963.5484642367808020740229754361579346541523367685
116,198040,5.964450582673275946762222863283453948337250679116E-7,286.1729212383644694777284154585278372470075335027
117,198050,0.0000050063719555278134662166787914108370260779944238255,2991.8519699873723332072444559797210042454820789179
118,198060,-0.0000055210792884889517877221364815242267636446330795110,-3244.8881471344967149480558243533804186598933465433
