,fees_R_X,fees_R_Y
0,0E-54,0E-46
1,0E-54,0E-46
2,0E-54,0E-46
3,0E-54,0E-46
4,0E-54,0E-46
5,0E-54,0E-46
6,0E-54,0E-46
7,0.000010005682567812618117640364477981166130379533992123,3357.5104749824607973939917659542336994897837235514
8,-0.000010005682567812618117640364477981166130379533992123,-3357.5104749824607973939917659542336994897837235514
9,0E-54,0E-46
10,0E-54,0E-46
11,0E-54,0E-46
12,0E-54,0E-46
13,0E-54,0E-46
14,0E-54,0E-46
15,0E-54,0E-46
16,0E-54,0E-46
17,0.000013164076969244161598718437258538234640785189030935,5493.0215655662844907712232137928912149638426757879
18,-0.000013164076969244161598718437258538234640785189030935,-5493.0215655662844907712232137928912149638426757879
19,0E-54,0E-46
20,0E-54,0E-46
21,0E-54,0E-46
22,0E-54,0E-46
23,0E-54,0E-46
24,0E-54,0E-46
25,0E-54,0E-46
26,0E-54,0E-46
27,0.0000098700162253148612561785192120247327913983819201286,3284.9958271700106624868773229091998208174960571239
28,-0.0000098700162253148612561785192120247327913983819201286,-3284.9958271700106624868773229091998208174960571239
29,0E-54,0E-46
30,0E-54,0E-46
31,0E-54,0E-46
32,0E-54,0E-46
33,0E-54,0E-46
34,0E-54,0E-46
35,0E-54,0E-46
36,0E-54,0E-46
37,0.000013569433041276273071120515301201086345111784642357,5731.8920908874099078912863640137963873299524866049
38,-0.000013569433041276273071120515301201086345111784642357,-5731.8920908874099078912863640137963873299524866049
39,0E-54,0E-46
40,0E-54,0E-46
41,0E-54,0E-46
42,0E-54,0E-46
43,0E-54,0E-46
44,0E-54,0E-46
45,0E-54,0E-46
46,0E-54,0E-46
47,0.000010032398699979792723943119318920670106969969170367,3370.4900626994340932415221777605521731591864113101
48,-0.000010032398699979792723943119318920670106969969170367,-3370.4900626994340932415221777605521731591864113101
49,0E-54,0E-46
50,0E-54,0E-46
51,0E-54,0E-46
52,0E-54,0E-46
53,0E-54,0E-46
54,0E-54,0E-46
55,0E-54,0E-46
56,0E-54,0E-46
57,0E-54,0E-46
58,0E-54,0E-46
59,0E-54,0E-46
60,0E-54,0E-46
61,0E-54,0E-46
62,0E-54,0E-46
63,0E-54,0E-46
64,0E-54,0E-46
65,0E-54,0E-46
66,0E-54,0E-46
67,0.000010048391578050486457634485123272522463439800972994,3378.1709851657754783770720863140042271946364974532
68,-0.000010048391578050486457634485123272522463439800972994,-3378.1709851657754783770720863140042271946364974532
69,0E-54,0E-46
70,0E-54,0E-46
71,0E-54,0E-46
72,0E-54,0E-46
73,0E-54,0E-46
74,0E-54,0E-46
75,0E-54,0E-46
76,0E-54,0E-46
77,0.000013175974307826082795954822713770048699901833578451,5498.8584809781720155223065319012762100273488809799
78,-0.000013175974307826082795954822713770048699901833578451,-5498.8584809781720155223065319012762100273488809799
79,0E-54,0E-46
80,0E-54,0E-46
81,0E-54,0E-46
82,0E-54,0E-46
83,0E-54,0E-46
84,0E-54,0E-46
85,0E-54,0E-46
86,0E-54,0E-46
87,0.0000099059756152210474685487541241066840160692148709076,3302.6067707211242650795374532046420322380542045311
88,-0.0000099059756152210474685487541241066840160692148709076,-3302.6067707211242650795374532046420322380542045311
89,0E-54,0E-46
90,0E-54,0E-46
91,0E-54,0E-46
92,0E-54,0E-46
93,0E-54,0E-46
94,0E-54,0E-46
95,0E-54,0E-46
96,0E-54,0E-46
97,0E-54,0E-46
98,0E-54,0E-46
99,0E-54,0E-46
100,0E-54,0E-46
101,0E-54,0E-46
102,0E-54,0E-46
103,0E-54,0E-46
104,0E-54,0E-46
105,0E-54,0E-46
106,0E-54,0E-46
107,0.000010070952846863487357284030938216841827575684329116,3389.2544337169206726993674620879369090658833733837
108,-0.000010070952846863487357284030938216841827575684329116,-3389.2544337169206726993674620879369090658833733837
109,0E-54,0E-46
110,0E-54,0E-46
111,0E-54,0E-46
112,0E-54,0E-46
113,0E-54,0E-46
114,0E-54,0E-46
115,0E-54,0E-46
116,0E-54,0E-46
117,0.000010191818020869999553474637407591447853142270971165,3452.8328370178125275440988538451805136377771406820
118,-0.000010191818020869999553474637407591447853142270971165,-3452.8328370178125275440988538451805136377771406820
119,0E-54,0E-46
120,0E-54,0E-46
121,0E-54,0E-46
122,0E-54,0E-46
123,0E-54,0E-46
124,0E-54,0E-46
125,0E-54,0E-46
126,0E-54,0E-46
127,0.0000099297936104391804303657785649839457268143132306428,3314.3306611130415408540441140981804113061679160104
128,-0.0000099297936104391804303657785649839457268143132306428,-3314.3306611130415408540441140981804113061679160104
129,0E-54,0E-46
130,0E-54,0E-46
131,0E-54,0E-46
132,0E-54,0E-46
133,0E-54,0E-46
134,0E-54,0E-46
135,0E-54,0E-46
136,0E-54,0E-46
137,0.000013615415376248298602275063332198489025247811806507,5755.9725514277348990167106983240186097185727888469
138,-0.000013615415376248298602275063332198489025247811806507,-5755.9725514277348990167106983240186097185727888469
139,0E-54,0E-46
140,0E-54,0E-46
141,0E-54,0E-46
142,0E-54,0E-46
143,0E-54,0E-46
144,0E-54,0E-46
145,0E-54,0E-46
146,0E-54,0E-46
