,tau,fees_R_X,fees_R_Y
0,196880,0.0000013620450028318649409933160115241640825093277544967,620.92862441528498891134069602845366137355132446638
1,196890,-0.0000020744141051710543454613114510628498544685007145024,-909.48886010410605689428592670643058726851486263776
2,196900,-0.0000040053078437660764622816750411872827692406308896753,-2470.3674945776526116095994062510928490939531993394
3,196910,0.0000041222417756712920344542924585578489634251450341356,2516.9981969473925187142213364106602725140644755520
4,196920,-1.1384182303880692520559366922024581851943490294701E-7,-46.438095404279089640336025571006907786385404411019
5,196930,-0.0000031014765609210156865801644749448210101067149465267,-2084.0690505861923105210541720323014133937051134831
6,196940,-0.0000016849833442096976539574993791325467438540999478983,-742.58369562002355574278865725584928773217651958093
7,196950,0.0000049228264398089636113258803068412594803563441670841,2881.1415615427179723000513622036478673074988640658
8,196960,-0.0000037986050319422466032120157506067343036357179057871,-2390.1746803764743817435617182458909569227822859003
9,196970,-0.0000010364266224127637038428394875977921424802823223195,-458.22256343321835342747508428221103145661256190351
10,196980,7.1212297301792908472904074729138884245981586066694E-7,330.02586153123638931139352973698661652528395894629
11,196990,-6.5583226343673390719908433815475488847758504767732E-7,-309.09258972194844980274712245389205109493625711564
12,197000,0.0000048053126487494833997844546588905480793634349003022,2837.0063527026559147416803154093721731225569776603
13,197010,0.0000016788426714422726776033972305346516492629718766055,755.08676084367063612425409806197152210328565086299
14,197020,-0.0000010566724639199684484544333346032006848043996934978,-503.60755013949923353620113275750079052858243827261
15,197030,0.0000011234919367417248613480879377693790466953454717484,529.31928231595593823343032410271379388644555531975
16,197040,-0.0000011156707179673171715938486209758874400255156140473,-526.49256905548276670243296465389253547249625937038
17,197050,-6.1062836506360573911655095143407411394108306425165E-7,-247.31241165353231977564537151236123543607427158476
18,197060,-0.0000040474186411247381981877617239730019517344868466979,-2490.1465755361180066913639238218860481900439485167
19,197070,8.6371967740236016457216972076498034676620592028176E-9,3.1282265721866325275070202337409934279419303802362
20,197080,0.0000040553990313408675471775114799643835210134595508973,2493.0404628352419957496789888246329925330020427358
21,197090,4.7604862482732826684315455874876289292713258414903E-9,1.7292072482690836572500836248266981607602850380510
22,197100,-0.0000047239056737514160661979543360331188622892417597512,-2807.4983744740157922814076135179343423116098650750
23,197110,0.0000065924902496646430795702597015762660383922280972722,3638.4038267822455076547158009610510511505145750230
24,197120,-0.0000065761783675696037262105869046025348195318534278094,-3632.4532466308071558961676698312259832623938646988
25,197130,0.0000051374561870944189503287684345041039561468494130505,2976.8400600363299988650337657800617437473195669976
26,197140,-0.0000044228671834168453383092798049498567277575793168591,-2645.6409595902105644903987506338542940702266311040
27,197150,1.4742702873740975231698236568470408675879463577417E-8,5.3914520066949271768972686230816311994320448185411
28,197180,-0.0000010765331044485592179481678637252346526266943370857,-451.87717298505999914019076205587331067304029629255
29,197190,-0.0000037052364058235854369600466704146947120781195927797,-2355.5935915479550238387591133204943584037396888551
30,197220,7.2641387872449523567176764937848253409578289980805E-9,2.7359695077995894910913063830980035814288710755769
31,197230,7.0118744112640183570372771657151031457294041379936E-7,326.29954256356834429168660952891938279373549524856
